code,name,return_code,notes
CE-30298-2,SCE_SBL_ERROR_DRV_EACCES,0X800F030D,
CE-30299-3,SCE_SBL_ERROR_DRV_EFAULT,0X800F030E,
CE-30300-6,SCE_SBL_ERROR_DRV_EBUSY,0X800F0310,
CE-30301-7,SCE_SBL_ERROR_DRV_EEXIST,0X800F0311,
CE-30302-8,SCE_SBL_ERROR_DRV_ENODEV,0X800F0313,
CE-30303-9,SCE_SBL_ERROR_DRV_EINVAL,0X800F0316,
CE-30304-0,SCE_SBL_ERROR_DRV_ENOSPC,0X800F031C,
CE-30305-1,SCE_SBL_ERROR_DRV_ERANGE,0X800F0322,
CE-30306-2,SCE_SBL_ERROR_DRV_EFMT,0X800F0323,
CE-30307-3,SCE_SBL_ERROR_DRV_ESIGN,0X800F0324,
CE-30308-4,SCE_SBL_ERROR_DRV_ENOTSUP,0X800F0325,
CE-30309-5,SCE_SBL_ERROR_DRV_EDATA,0X800F0326,
CE-30310-7,SCE_SBL_ERROR_DRV_ETIMEDOUT,0X800F0327,
CE-30311-8,SCE_SBL_ERROR_DRV_ESTAT,0X800F0328,
CE-30312-9,SCE_SBL_ERROR_DRV_ESTACK,0X800F0329,
CE-30313-0,SCE_SBL_ERROR_DRV_ENEEDAUTH,0X800F032A,
CE-30314-1,SCE_SBL_ERROR_DRV_EBADMSG,0X800F032B,
CE-30315-2,SCE_SBL_ERROR_DRV_EREVOKED,0X800F032C,
CE-30316-3,SCE_SBL_ERROR_DRV_ENOATTR,0X800F032D,
CE-30317-4,SCE_SBL_ERROR_DRV_EVER,0X800F032E,
CE-30318-5,SCE_SBL_ERROR_DRV_EPLATFORM,0X800F032F,
CE-30319-6,SCE_SBL_ERROR_DRV_EPOWER,0X800F0330,
CE-30320-8,SCE_SBL_ERROR_DRV_ECLOCK,0X800F0331,
CE-30321-9,SCE_SBL_ERROR_DRV_ENOTINITIALIZED,0X800F0332,
CE-30322-0,SCE_SBL_ERROR_DRV_EXPIRED,0X800F0333,
CE-30323-1,SCE_SBL_ERROR_DRV_EFORMAT,0X800F0334,
CE-30324-2,SCE_SBL_ERROR_DRV_EAUTHFAIL,0X800F0335,
CE-30325-3,SCE_SBL_ERROR_DRV_KEY_DIFFER,0X800F0336,
CE-30326-4,SCE_SBL_ERROR_SERV_EPERM,0X800F0401,
CE-30327-5,SCE_SBL_ERROR_SERV_ENOENT,0X800F0402,
CE-30328-6,SCE_SBL_ERROR_SERV_ESRCH,0X800F0403,
CE-30329-7,SCE_SBL_ERROR_SERV_EINTR,0X800F0404,
CE-30330-9,SCE_SBL_ERROR_SERV_EIO,0X800F0405,
